Job Title,professional level,Governorate,skills
.NET Developer,senior,Cairo,"administration, analysis, business, business administration, did, emotional intelligence, he, he director, he merit, his, human resource, human resource (he), human resource management, leadership, management, operation, recruitment, resource management, senior management, spur"
5G Network Engineer,fresh,Cairo,"aim, backed, backed development, case, computer engineering, computer science, engineering - telecom, entry level, gap, git, html, information technology (it), it, javascript, mean stick, mobile development, network engineering, node.is, software development, technology, travel"
5G Network Engineer,manager,Cairo,"communication, computer science, engineering, engineering - telecom, information technology, information technology (it), infrastructure, infrastructure management, it, line, management, manager, microsoft certify solution expert, networking, project management, service delivery, slaveholder management, software development, technology, til, til mortification"
5G Network Engineer,mid,Alexandria,"adore d, art, creative, design, design tool, experienced, html, i, iss, it, javascript, responsive web design, so, software development, up, user experience, web design"
5G Network Engineer,mid,Cairo,"agile, communication, computer, computer science, engineering, engineering - telecom, experienced, git, html, information technology (it), installation, it, javascript, maintenance, patron, repair, security, software, software development, software engineering, technology, version control"
5G Network Engineer,mid,Giza,"agile, angular, build tool, computer, computer science, control system, engineering, engineering - telecom, experienced, front-end, information technology, information technology (it), it, must, operating system, responsive web design, security, software development, system administration, technology, version control, web design"
AI Engineer,fresh,Alexandria,"adore after effect, adore illustration, adore photoshop, after effect, andros, andros development, animation, appear, arm, art, axis, business development, camunda, computer science, computer skill, creative, d, design, motivation, pm, wa"
AI Engineer,fresh,Cairo,"ai, azure, cloud, computer engineering, computer science, development, engineering, engineering - telecom, entry level, experienced, information technology (it), it, management, manager, operation, patron, programming, software, software development, software engineering, technology, wa"
AI Engineer,fresh,Dubai,"agile, architecture, arm, art, autocrat, axis, azure, back-end, backed, business intelligence, cloud, communication, computer engineering, computer science, computer skill, creative, customer service, d modeling, design, i, iss, wa"
AI Engineer,fresh,Giza,".net, agile, ai, algorithm, amazon wa, analysis, analyst, analytical skill, andros, artificial intelligence, artificial intelligence (ai), automatic, axis, azure, budget, business, d max, research, wa, wa cloud, wa code pipeline"
AI Engineer,manager,Cairo,"ai, c#, cloud, computer engineering, computer science, development, electrical, engineering, engineering - mechanical, engineering - telecom, entry level, experienced, information technology (it), it, management, manager, operation, patron, programming, software development, software engineering, technology, wa"
AI Engineer,mid,Cairo,"ai, art, azure, cloud, computer engineering, computer science, creative, design, development, engineering, engineering - telecom, entry level, experienced, information technology (it), it, management, manager, operation, patron, software, software development, software engineering, technology, wa"
AI Engineer,mid,Dakahlia,".net, agile, ai, algorithm, amazon wa, analysis, analyst, andros, artificial intelligence, artificial intelligence (ai), automatic, axis, azure, budget, business, c, d max, research, wa, wa cloud, wa code pipeline"
AI Engineer,mid,Damascus,"agile, apt, architecture, autocrat, axis, azure, back-end, backed, build tool, business intelligence, career development, cloud, communication, computer engineering, computer science, computer skill, control system, d modeling, i, wa"
AI Engineer,mid,Giza,"adore after effect, adore illustration, adore photoshop, after effect, andros, computer science, d, development, engineering - telecom, entry level, experienced, information technology (it), it, management, motivation, operation, patron, sal, software development, technology, wa"
AI Specialist,mid,Cairo,"ai, algorithm, analysis, business analysis, business intelligence, data science, deep learning, experienced, gap, it, jump, knowledge graph, machine learning, nap, patron, porch, power i, research report, software development, statistical modeling, technical documentation"
AWS Developer,fresh,Cairo,"aim, axis, computer science, design, engineering - telecom, entry level, firebase, flutter, i, information technology (it), it, mobile, mobile security, restful, restful axis, software development, technology, up"
AWS Developer,fresh,Giza,"art, azure, azure cloud, cloud, computer science, creative, design, engineering - telecom, entry level, information technology (it), it, software development, technology, wa"
AWS Developer,junior,Cairo,"agile, azure, cloud, computer science, doctor, drop, engineering, engineering - telecom, experienced, git, information technology (it), it, javascript, patron, pp, sal, software, software development, software engineering, technology, wa"
AWS Developer,junior,Giza,"agile, amazon wa, art, automatic, azure, azure cloud, cloud, computer science, creative, design, doctor, drop, elasticsearch, engineering, engineering - telecom, entry level, experienced, information technology (it), it, software development, software engineering, technology, wa"
AWS Developer,manager,Cairo,"computer science, database system, engineering, engineering - telecom, engineering manager, goose cloud, html, information technology (it), iss, it, management, manager, operation, react native, react.is, relation database, software, software development, software engineering, software engineering manager, technology, wa"
AWS Developer,mid,Cairo,"agile, apt, azure, computer science, doctor, engineering, engineering - telecom, experienced, gap, git, information technology (it), it, myself, patron, sal, software, software development, software engineering, technology, version control, wa"
AWS Developer,mid,Gharbia,"can, certify information system security professional, computer science, de, deep, disco certify network associate, engineering - telecom, experienced, goose cloud, information system, information system security, information technology, information technology (it), it, network protocol, networking, software development, system administration, technology"
AWS Developer,mid,Giza,"agile, agile methodology, automatic, azure, computer science, content management, control system, doctor, drop, engineering, engineering - telecom, experienced, goose cloud, information technology (it), it, serum, software development, technology, troubleshooting, version control, wa"
AWS Engineer,fresh,Cairo,"aim, backed, backed development, case, computer engineering, computer science, engineering - telecom, entry level, gap, git, html, information technology (it), it, javascript, mean stick, mobile development, network engineering, software development, technology, travel"
AWS Engineer,fresh,Giza,"art, azure, azure cloud, cloud, computer science, creative, design, engineering - telecom, entry level, information technology (it), it, software development, technology, wa"
AWS Engineer,manager,Cairo,"apt, cloud host, computer engineering, computer science, development, engineering, engineering - telecom, goose cloud, html, information technology (it), iss, it, management, manager, operation, server configuration, so, software, software development, technical lead, technology, wa"
AWS Engineer,mid,Cairo,"agile, agile methodology, apt, computer science, engineering, engineering - telecom, experienced, git, goose cloud, information technology (it), it, javascript, myself, patron, sal, software, software development, software engineering, technology, version control, wa"
AWS Engineer,mid,Giza,"agile, agile methodology, automatic, azure, computer science, content management, control system, doctor, drop, engineering, engineering - telecom, experienced, goose cloud, information technology (it), it, serum, software development, technology, troubleshooting, version control, wa"
Analytics Engineer,fresh,Cairo,"aim, art, axis, computer science, creative, design, engineering - telecom, entry level, firebase, flutter, i, information technology (it), it, mobile, mobile security, pp, restful, restful axis, software development, technology, up"
Analytics Engineer,fresh,Giza,"engineering, engineering - other, entry level, environmental management, facility management, he, health, healthcare, iso, iso 14001, iso 9001, management system, medical, microsoft office, occupational health, quality, quality control, quality management, quality management system, safety"
Analytics Engineer,manager,Cairo,"analysis, analyst, analytical, analytical skill, business, business analysis, computer engineering, computer science, data, data analysis, data visualization, engineering, engineering - telecom, engineering statistic, information technology (it), it, manager, mathematics, microsoft expel, project management, research, software development, technology"
Analytics Engineer,manager,Dakahlia,"electrical, electrical engineering, engineering, engineering - mechanical, installation, leadership, maintenance, maintenance engineering, maintenance management, management, manager, mechanical engineering, operation, repair, team management"
Analytics Engineer,manager,Giza,"communication skill, engineering, english language, influence skill, management, manager, operation, planning, procurement, purchasing, supply chain, supply chain management, supply chain planning, warehousing, write communication"
Analytics Engineer,mid,Alexandria,"analytical skill, andros, andros studio, build tool, business development, computer science, engineering, engineering - telecom, experienced, i, information technology (it), it, management system, mobile pp, react, react native, software, software development, software engineering, technology, up"
Analytics Engineer,mid,Cairo,"analytical skill, apt, computer science, development, engineering, engineering - telecom, experienced, html, information technology, information technology (it), iss, it, javascript, quality, software, software development, software engineering, technology, testing, version control, web development"
Analytics Engineer,mid,Dakahlia,".net framework, agile, angular, asp.net, authentication protocol, azure cloud service, azure drop, azure drop server, business development, cloud service, computer science, control system, drop, experienced, git, html, information technology, iss, it, software development"
Analytics Engineer,mid,Damietta,"application development, computer science, control system, engineering - telecom, experienced, flutter, mobile, mobile application, mobile application development, mobile development, programming environment, technology, version control"
Analytics Engineer,mid,Giza,".net, analytical skill, angular, application development, cava, computer science, engineering, engineering - telecom, experienced, information technology (it), it, javascript, quality, quality assurance, quality control, sal, software, software development, software engineering, technology, testing"
Analytics Engineer,mid,Riyadh,"analytical skill, axis, azure, computer science, development, engineering, engineering - telecom, enterprise integration, experienced, information technology, information technology (it), it, programming, restful, soap, software, software development, software engineering, system integration, technology"
Analytics Engineer,mid,Sharqia,"analytical skill, experienced, manufacturing, mechanical, mechanical engineering, production, technical writing"
Analytics Engineer,senior,Red Sea,"analytical skill, architecture, civil, civil engineering, cod, director, engineering, engineering - construction, leadership, management, people management, pp, project, project management, senior management"
Android Developer,fresh,Cairo,"art, axis, cava, computer science, creative, design, developer, development, engineering, engineering - telecom, entry level, experienced, flutter, git, information technology (it), is, it, javascript, mobile, mobile application, pp, software development, technology"
Android Developer,manager,Cairo,"adored, agile, agra, andros, andros application, andros application development, andros development, andros programming, andros sd, angular, architecture, automatic testing, axis, back-end, c, c++, computer, pp store"
Android Developer,mid,Alexandria,"art, axis, computer science, creative, design, development, engineering, engineering - telecom, experienced, flutter, git, information technology (it), is, it, mobile application, mobile development, pp, programming, react, software, software development, software engineering, technology"
Android Developer,mid,Cairo,"art, axis, computer science, creative, design, development, engineering, engineering - telecom, experienced, flutter, git, information technology (it), is, it, mobile application, mobile development, pp, programming, software, software development, software engineering, technology, web development"
Android Developer,mid,Damietta,".net, andros, andros application development, andros development, angular, apt, art, axis, back-end development, backed, case, communication skill, computer science, creative, design, developer, development, engineering, iss, pp, pp developer"
Android Developer,mid,Giza,"art, axis, computer science, creative, design, development, engineering, engineering - telecom, experienced, flutter, git, information technology (it), is, it, mobile application, mobile development, pp, programming, software, software development, software engineering, technology, web development"
Android Developer,senior,Cairo,".net, andros, andros application development, andros development, angular, apt, art, axis, back-end development, backed, case, communication skill, computer science, creative, design, developer, development, engineering, iss, pp, pp developer"
Angular Developer,fresh,Cairo,".net, agile, angular, cava, computer science, engineering, engineering - telecom, entry level, information technology (it), it, javascript, mssql, operating system, programming, react, rest axis, software, software development, software engineering, technology"
Angular Developer,fresh,Giza,"angular, angular 6, angular 6+, case, computer engineering, computer science, engineering - telecom, entry level, front-end, git, html, information technology (it), iss, iss framework, it, javascript, software development, technology, testing, unit, unit testing"
Angular Developer,manager,Cairo,"angular, backed, computer science, development, doctor, drop, engineering - telecom, fronted, gitlab, information technology (it), it, javascript, manager, mobile development, software development, system design, technology"
Angular Developer,manager,Giza,".net, angular, cava, computer science, continuous integration, entity framework, full stick, html, information technology (it), iss, it, javascript, javascript framework, manager, mongodb, organizational skill, patron, query, software, software development"
Angular Developer,mid,Alexandria,".net, angular, apt, business logic, c, computer science, crystal report, database, database design, design, engineering - other, experienced, it, other, programming language, sal, software development, software engineering, ve.net, version control"
Angular Developer,mid,Cairo,".net, agile, angular, asp.net, computer science, engineering - telecom, entity framework, experienced, front-end, git, html, information technology (it), iss, it, javascript, sal, software development, software engineering, technology, version control, web application"
Angular Developer,mid,Dakahlia,".net framework, agile, angular, asp.net, authentication protocol, azure cloud service, azure drop, azure drop server, business development, cloud service, computer science, control system, drop, experienced, git, html, iss, it, software development, version control"
Angular Developer,mid,Giza,".net, agile, analytical skill, angular, asp net, computer science, control system, design, engineering, engineering - telecom, experienced, git, information technology (it), it, javascript, sal, software, software development, technology, version control, web service"
Angular Developer,mid,Riyadh,"agile, angular, apt, case, computer science, development, engineering, experienced, fronted, git, html, i, information technology (it), iss, it, javascript, patron, software development, typescript, version control"
Angular Developer,mid,Sharqia,"angular, apt, business requirement, computer science, control system, engineering - other, engineering - telecom, entity framework, experienced, html, information technology (it), iss, it, javascript, microsoft sal server, object orient programming, problem solve, programming, software, software development, technology, top"
Artificial Intelligence Engineer,fresh,Cairo,"ai, algorithm, analysis, analyst, artificial intelligence, artificial intelligence (ai), automatic, azure, budget, business, c#, chief technology officer, cloud, communication, communication protocol, computer, computer engineering, computer science, computer vision, d max, research"
Artificial Intelligence Engineer,mid,Cairo,"ai, algorithm, analysis, analyst, artificial intelligence, artificial intelligence (ai), automatic, azure, budget, business, c#, chief technology officer, cloud, communication, communication protocol, computer, computer engineering, computer science, computer vision, d max, research"
Artificial Intelligence Engineer,mid,Dakahlia,"ai, algorithm, analysis, analyst, artificial intelligence, artificial intelligence (ai), automatic, azure, budget, business, c#, chief technology officer, cloud, communication, communication protocol, computer, computer engineering, computer science, computer vision, d max, research"
Artificial Intelligence Engineer,mid,Giza,"ai, algorithm, analysis, analyst, artificial intelligence, artificial intelligence (ai), automatic, azure, budget, business, c#, chief technology officer, cloud, communication, communication protocol, computer, computer engineering, computer science, computer vision, d max, research"
Azure Developer,fresh,Cairo,"ai, aim, artificial intelligence, azure, backed, backed development, c#, case, cloud, computer engineering, computer science, engineering, engineering - telecom, entry level, gap, git, information technology (it), it, patron, software development, technology"
Azure Developer,fresh,Giza,"art, azure, azure cloud, cloud, computer science, creative, design, engineering - telecom, entry level, information technology (it), it, software development, technology, wa"
Azure Developer,junior,Cairo,".net, agile, ai, azure, cloud, computer science, doctor, drop, engineering, engineering - telecom, experienced, git, information technology (it), it, manager, patron, programming, sal, software development, technology, wa"
Azure Developer,junior,Dakahlia,".net framework, agile, angular, asp.net, azure drop server, business development, drop, experienced, it, sal server, software development"
Azure Developer,junior,Damietta,"computer science, engineering - telecom, experienced, information technology (it), it, sharepoint, sharepoint online, software development, technology"
Azure Developer,junior,Dubai,"azure drop server, cloud development, computer science, engineering, experienced, information technology (it), it, microsoft azure, sal azure, software development, telecommunication"
Azure Developer,junior,Giza,"agile, art, automatic, azure, azure cloud, backed, backed developer, cloud, computer science, creative, design, developer, doctor, drop, engineering, engineering - telecom, entry level, experienced, information technology (it), it, senior, software development, technology, wa"
Azure Developer,junior,Riyadh,"axis, azure, development, engineering, engineering - telecom, experienced, information technology (it), it, restful, software development, software engineering, system integration, technology"
Azure Developer,manager,Cairo,".net, async, azure, computer science, database design, dependency injection, desktop development, end, engineering, engineering - telecom, git, html, information technology (it), it, javascript, manager, net framework, node is, query, software development, technology"
Azure Developer,mid,Cairo,"agile, azure, cloud, cloud technology, communication, computer, computer science, doctor, drop, engineering, engineering - telecom, experienced, gap, information technology (it), it, patron, sal, software development, software engineering, technology, wa"
Azure Developer,mid,Dakahlia,".net framework, agile, angular, asp.net, authentication protocol, azure cloud service, azure drop, azure drop server, business development, cloud service, computer science, control system, drop, experienced, git, html, information technology, infrastructure a code, iss, it, software development"
Azure Developer,mid,Dubai,"arm, azure drop server, cloud development, compliance requirement, computer science, disaster recovery, engineering, experienced, information technology (it), infrastructure a code, it, microsoft azure, sal azure, software development, telecommunication"
Azure Developer,mid,Giza,".net, agile, agile methodology, automatic, azure, computer science, control system, doctor, drop, engineering, engineering - telecom, experienced, goose cloud, information technology (it), it, serum, software, software development, software engineering, technology, wa"
Azure Developer,mid,Riyadh,"analytical skill, axis, azure, computer science, development, engineering, engineering - telecom, enterprise integration, experienced, information technology, information technology (it), it, programming, restful, soap, software, software development, software engineering, system integration, technology"
Azure Engineer,fresh,Cairo,"ai, artificial intelligence, azure, c#, cloud, computer science, engineering, entry level, it, patron, software development"
Azure Engineer,fresh,Giza,"art, azure, azure cloud, cloud, computer science, creative, design, engineering - telecom, entry level, information technology (it), it, software development, technology, wa"
Azure Engineer,manager,Cairo,".net, aim, async, azure, computer science, database design, dependency injection, desktop development, end, engineering, engineering - telecom, git, goose cloud, information technology (it), it, javascript, management, manager, operation, software development, technology, wa"
Azure Engineer,mid,Cairo,"agile, azure, cloud, computer science, doctor, drop, engineering, engineering - telecom, experienced, gap, git, information technology (it), installation, it, kubernetes, maintenance, patron, repair, sal, software, software development, technology, wa"
Azure Engineer,mid,Dakahlia,".net framework, agile, angular, asp.net, authentication protocol, azure cloud service, azure drop, azure drop server, business development, cloud service, computer science, control system, drop, experienced, git, html, information technology, infrastructure a code, iss, it, software development"
Azure Engineer,mid,Damietta,"computer science, custom web part, engineering - telecom, experienced, html, information technology, information technology (it), iss, it, microsoft 365, power i, sharepoint, sharepoint online, software development, technology, web part"
Azure Engineer,mid,Dubai,"arm, azure drop server, cloud development, compliance requirement, computer science, disaster recovery, engineering, experienced, information technology (it), infrastructure a code, it, microsoft azure, sal azure, software development, telecommunication"
Azure Engineer,mid,Giza,".net, agile, agile methodology, azure, backed, backed developer, computer science, developer, development, engineering, engineering - telecom, experienced, information technology (it), it, net, senior, software, software development, software engineering, technology, wa"
Azure Engineer,mid,Riyadh,"analytical skill, axis, azure, computer science, development, engineering, engineering - telecom, enterprise integration, experienced, information technology, information technology (it), it, programming, restful, soap, software, software development, software engineering, system integration, technology"
BIDL,fresh,Cairo,"accounting, accounting principle, administration, analysis, analyst, analytical, autocrat, autocrat d, bidding, boy, business, claim, clinic, communication, communication skill, construction, d drawing, finance, is en 50522, ma, research"
BIDL,mid,Cairo,"account receivable, accounting, administration, architecture, art, autocrat, civil, civil engineering, communication skill, construction, creative, design, electrical, engineering, engineering - construction, engineering - mechanical, english, expel, experienced, export, finance, financial analysis"
Big Data Engineer,mid,Cairo,".net, analysis, azure, cava, cloud, communication, computer science, electrical, engineering, engineering - mechanical, engineering - telecom, experienced, information technology (it), it, nose, patron, programming, sal, software development, software engineering, technology, wa"
Big Data Engineer,mid,Giza,".net, analysis, appear, asp.net, azure, big data, business solution, camunda, cloud, communication, computer science, domain management, electrical, employment, engineering, engineering - mechanical, engineering - telecom, english, experienced, hive, pm, technology"
Business Intelligence Analyst,fresh,Cairo,"accounting, ai, analysis, analyst, analytical, artificial intelligence (ai), backoffice, coming, computer science, english, entry level, finance, information technology (it), it, odor, patron, programming, research, software, software development, software engineering"
Business Intelligence Analyst,manager,Cairo,"analysis, analyst, analytical, analytical skill, business, business analysis, computer engineering, computer science, data, data analysis, data visualization, engineering, engineering - telecom, engineering statistic, information technology (it), it, manager, patron, research, sal, software development, statistic, technology"
Business Intelligence Analyst,mid,Cairo,"ai, analysis, analyst, business, business development, business intelligence, communication skill, computer science, data analysis, engineering, engineering - telecom, experienced, i, information technology (it), it, management, patron, power i, research, sal, sale, software development, technology"
Cloud Engineer,fresh,Cairo,"agile, ai, azure, cloud, computer, computer engineering, computer science, engineering, engineering - telecom, entry level, experienced, information technology (it), it, javascript, react, rest, sal, software, software development, technology, typescript"
Cloud Engineer,fresh,Giza,"account, analysis, art, azure, azure cloud, big data, business development, business solution, cloud, cloud computing, communication, communication skill, computer, computer science, creative, d, design, engineering - telecom, entry level, i, information technology (it), it, software development, technology, wa"
Cloud Engineer,fresh,Riyadh,".net, .net development, abe framework, agile, andros, andros development, angular, apt, apt development, apt testing, asp.net, axis, back-end, backed, backed developer, c#, communication skill, did, him, wa"
Cloud Engineer,junior,Cairo,"ai, artificial intelligence, azure, cloud, computer science, development, engineering, engineering - other, engineering - telecom, entry level, experienced, information technology (it), it, javascript, manager, mongodb, patron, react, software development, technology, wa"
Cloud Engineer,junior,Dubai,"azure drop server, cloud development, computer science, engineering, experienced, information technology (it), it, microsoft azure, sal azure, software development, telecommunication"
Cloud Engineer,junior,Giza,"administration, amazon wa, axis, django, elasticsearch, engineering - telecom, experienced, git, information technology (it), it, mongodb, node.is, patron, pp, react native, react.is, red, rest, software development, technology, typescript"
Cloud Engineer,junior,Jeddah,"can, computer science, education, engineering, engineering - telecom, experienced, information technology (it), network, security, teaching, technology, training"
Cloud Engineer,junior,Riyadh,"apt development, computer science, design, development, engineering - telecom, entry level, experienced, full stick, html, information technology (it), is, it, javascript, myself, pp, react, restful axis, software development, technology, web application, web development"
Cloud Engineer,manager,Cairo,".net, agile, asp.net, computer science, development, engineering, engineering - telecom, experienced, html, information technology (it), installation, iss, it, maintenance, manager, patron, react, repair, software, software development, software engineering, technology, wa"
Cloud Engineer,mid,Alexandria,".net, accounting, active directory, administration, agile, amazon wa, application, architect, architecture, autocrat, axis, back-end development, bootstrap, business development, c, communication, computer, computer engineering, computer maintenance, finance"
Cloud Engineer,mid,Cairo,".net, agile, asp.net, computer science, engineering, engineering - telecom, experienced, git, information technology (it), installation, it, javascript, maintenance, manager, patron, react, repair, sal, software, software development, software engineering, technology, wa"
Cloud Engineer,mid,Dakahlia,".net framework, agile, ai, analysis, angular, artificial intelligence, asp.net, authentication protocol, azure, azure cloud service, azure drop, azure drop server, backed, base, business development, c#, can, disco, him, wa"
Cloud Engineer,mid,Dubai,"arm, azure drop server, cloud development, compliance requirement, computer science, disaster recovery, engineering, experienced, information technology (it), infrastructure a code, it, microsoft azure, sal azure, software development, telecommunication"
Cloud Engineer,mid,Gharbia,".net, .net development, abe framework, agile, andros, andros development, angular, apt, apt development, asp.net, axis, back-end, backed, backed developer, c#, can, certify information system security professional, did, him, wa"
Cloud Engineer,mid,Giza,".net, agile, axis, computer science, engineering, engineering - telecom, experienced, git, information technology (it), installation, it, javascript, maintenance, mongodb, react, repair, sal, security, software, software development, technology, wa"
Cloud Engineer,mid,Jeddah,"agile, ai, algorithm, amazon wa, andros, andros application, andros application development, andros development, andros programming, andros sd, artificial intelligence, autocrat, automatic, axis, azure, banking, can, wa, wa cloud, wa code pipeline"
Cloud Engineer,mid,Riyadh,".net, agile, analyst, asp.net, automatic, business development, computer engineering, computer science, drop, engineering, engineering - telecom, experienced, html, information technology (it), infrastructure, installation, iss, it, maintenance, repair, research, software development, technology, wa"
Cloud Engineer,senior,Cairo,"arm, azure, business development, business solution, cloud, cloud computing, computer science, development, doctor, drop, employment, engineering, engineering - telecom, information technology, information technology (it), it, it infrastructure, management, senior management, software development, technology, wa"
Cloud Solutions Architect,manager,Cairo,"access control, can, cloud service, computer network, computer science, disaster recovery, engineering, engineering - telecom, information technology (it), infrastructure, installation, it, it infrastructure, maintenance, management, manager, must, network administration, repair, saber security, software development, technology"
Cloud Solutions Architect,mid,Cairo,".net, .net development, application development, apt design, asp.net, axis, azure, clean architecture, computer science, database design, development, did, domain-driven design, done, engineering - telecom, entity framework, experienced, information technology (it), it, software development, technology"
Cloud Solutions Architect,mid,Dubai,"arm, azure drop server, cloud development, compliance requirement, computer science, disaster recovery, engineering, experienced, information technology (it), infrastructure a code, it, microsoft azure, sal azure, software development, telecommunication"
Compliance Specialist,fresh,Cairo,"certify ethical packer, compliance management, comptez security+, eh, engineering - telecom, entry level, farewell, grm, is, ism, iso 27001, it, list, miss, security control, software development, technology"
Compliance Specialist,fresh,Giza,"affair, d, entry level, french, healthcare, industry, medical, medicine, organizational skill, pharmaceutical, pharmacy, r, regulatory, regulatory affair, science, veterinary, veterinary medicine"
Compliance Specialist,fresh,Qalubia,"administration, contract law, contract management, document preparation, entry level, investigation, legal, legal affair, legal compliance, legal document, legal drafting, microsoft office"
Compliance Specialist,mid,Cairo,"arabic, communication, computer engineering, computer science, cybersecurity, dip, ed, engineering - telecom, english, experienced, governance, grm, healthcare, isa, ism, logistics, medical, microsoft office, regulatory affair, saber law, supply chain, technology, terrified information security manager"
Compliance Specialist,mid,Giza,"bitten, c, chemical, chemical engineering, chemistry, construction chemical, control, d, epoch, experienced, insulating, laboratory testing, liquid, manufacturing, powder, powder coating, production, protective coating, quality, quality assurance, quality control, r, science"
Compliance Specialist,mid,Qalubia,"a, experienced, external auditor, iso, iso 9001, lean manufacturing, management system, process control, quality, quality assurance, quality management, quality management system, statistical process control, write communication"
Computer Vision Engineer,fresh,Cairo,"agile, ai, analysis, analyst, architecture, artificial intelligence, civil, cloud, communication, computer science, development, electrical, engineering, engineering - construction, engineering - mechanical, engineering - telecom, entry level, experienced, information technology (it), it, javascript, maintenance, research, software development, technology, wa"
Computer Vision Engineer,fresh,Giza,".net, agile, ai, analysis, analyst, analytical skill, angular, applied art, architectural engineering, architecture, architecture engineering, art, artificial intelligence, autocrat, azure, business analysis, c, d, d max, research, wa"
Computer Vision Engineer,manager,Cairo,"agile, ai, analysis, analyst, architecture, artificial intelligence, civil, cloud, communication, computer science, development, electrical, engineering, engineering - construction, engineering - mechanical, engineering - telecom, entry level, experienced, html, information technology (it), iss, it, research, software development, technology, wa"
Computer Vision Engineer,mid,Cairo,"agile, ai, analysis, analyst, architecture, artificial intelligence, civil, cloud, communication, computer science, development, electrical, engineering, engineering - construction, engineering - mechanical, engineering - telecom, entry level, experienced, information technology (it), it, javascript, maintenance, research, software development, technology, wa"
Computer Vision Engineer,mid,Giza,"agile, ai, algorithm, analysis, analyst, artificial intelligence, artificial intelligence (ai), automatic, cloud, communication, computer, computer engineering, computer science, computer skill, computer vision, data analysis, development, drop, engineer, research, wa"
Computer Vision Engineer,mid,Monufya,"agile, ai, algorithm, analysis, analyst, artificial intelligence, artificial intelligence (ai), automatic, cloud, communication, computer, computer engineering, computer science, computer skill, computer vision, data analysis, development, drop, engineer, research, wa"
Cybersecurity Engineer,mid,Cairo,"arabic, communication, computer engineering, computer science, cybersecurity, dip, engineering - telecom, english, experienced, governance, grm, isa, ism, iso 27001, it, microsoft office, risk management and compliance ( grm ), saber law, seem, software development, technology, terrified information security manager"
Cybersecurity Engineer,mid,Giza,".net development, active directory, am, authenication, authorization, back, c#, computer science, development, engineering - telecom, english, experienced, information technology (it), isa, it, process automatic, rep, saber security, security, single sign on, software development, technology"
Cybersecurity Engineer,senior,Giza,"application development, communication, computer science, development, engineering, engineering - telecom, information technology, information technology (it), infrastructure, infrastructure management, installation, it, maintenance, planning, repair, risk management, senior management, software development, strategic thinking, technology"
Dart Developer,fresh,Al Ain,"all, analytical skill, banking, business, business development, computer science, customer service, data analyst, database design, entry level, etc, information management, information technology (it), statistic, statistical package, support"
Dart Developer,fresh,Alexandria,"a, adore creative suite, analytical skill, arm, b testing, business communication, campaign performance, conversion rate optimization, digital marketing, entry level, facebook a, facebook ad, firebase, goose a, goose ad, goose analysis, goose sense, graphic design, pp store, pp store optimization"
Dart Developer,fresh,Cairo,"ai, analysis, analyst, business administration, computer science, data, data analysis, development, development environment, engineering, engineering - telecom, entry level, information technology (it), it, organizational skill, programming, research, software, software development, software engineering, supply chain, technology"
Dart Developer,fresh,Damietta,"computer science, engineering, engineering - telecom, entry level, git, html, information technology (it), iss, it, javascript, myself, pp, software development, software engineering, technology, travel"
Dart Developer,fresh,Qalubia,"accounting, analysis, analyst, apt, axis, back-end, computer science, development, english, entry level, finance, information technology (it), it, patron, relation database, research, restful, software development, software engineering, web service"
